AsOfDate,AAPL,ADBE,CVX
2017-01-03,121.10,113.82,110.76
2016-12-01,115.32,102.95,116.58
2016-11-01,110.04,102.81,110.50
2016-10-03,112.47,107.51,102.73
2016-09-01,111.99,108.54,100.93
2016-08-01,105.10,102.31,98.64
2016-07-01,102.67,97.86,99.45
2016-06-01,94.19,95.79,101.73
2016-05-02,98.39,99.47,98.02
2016-04-01,91.80,94.22,98.13
2016-03-01,106.73,93.80,91.61
2016-02-01,94.69,85.15,80.13
2016-01-04,94.81,89.13,82.00
2015-12-01,102.52,93.94,85.31
2015-11-02,115.23,91.46,86.60
2015-10-01,115.90,88.66,85.14
2015-09-01,106.98,82.22,73.90
2015-08-03,109.36,78.57,75.88
2015-07-01,117.11,81.99,81.86
2015-06-01,121.10,81.01,89.25
2015-05-01,125.78,79.09,95.30
2015-04-01,120.33,76.06,101.74
2015-03-02,119.64,73.94,96.17
2015-02-02,123.51,79.10,97.73
2015-01-02,112.20,70.13,93.01
